"행정구역","2023년05월_계_총인구수","2023년05월_계_연령구간인구수","2023년05월_계_0~9세","2023년05월_계_10~19세","2023년05월_계_20~29세","2023년05월_계_30~39세","2023년05월_계_40~49세","2023년05월_계_50~59세","2023년05월_계_60~69세","2023년05월_계_70~79세","2023년05월_계_80~89세","2023년05월_계_90~99세","2023년05월_계_100세 이상","2023년05월_남_총인구수","2023년05월_남_연령구간인구수","2023년05월_남_0~9세","2023년05월_남_10~19세","2023년05월_남_20~29세","2023년05월_남_30~39세","2023년05월_남_40~49세","2023년05월_남_50~59세","2023년05월_남_60~69세","2023년05월_남_70~79세","2023년05월_남_80~89세","2023년05월_남_90~99세","2023년05월_남_100세 이상","2023년05월_여_총인구수","2023년05월_여_연령구간인구수","2023년05월_여_0~9세","2023년05월_여_10~19세","2023년05월_여_20~29세","2023년05월_여_30~39세","2023년05월_여_40~49세","2023년05월_여_50~59세","2023년05월_여_60~69세","2023년05월_여_70~79세","2023년05월_여_80~89세","2023년05월_여_90~99세","2023년05월_여_100세 이상"
"서울특별시  (1100000000)","9,418,885","9,418,885","530,837","744,507","1,379,056","1,425,785","1,435,754","1,490,647","1,311,328","723,982","331,600","43,937","1,452","4,560,702","4,560,702","272,342","380,600","657,023","713,169","710,435","733,157","620,206","328,000","133,897","11,555","318","4,858,183","4,858,183","258,495","363,907","722,033","712,616","725,319","757,490","691,122","395,982","197,703","32,382","1,134"
"서울특별시 종로구 (1111000000)","140,601","140,601","6,125","10,069","21,929","19,345","19,563","24,007","20,542","11,443","6,609","935","34","67,923","67,923","3,085","4,969","10,373","9,649","9,460","11,893","10,351","5,161","2,670","302","10","72,678","72,678","3,040","5,100","11,556","9,696","10,103","12,114","10,191","6,282","3,939","633","24"
"서울특별시 종로구 청운효자동(1111051500)","11,517","11,517","629","1,116","1,411","1,550","1,965","1,899","1,399","915","552","78","3","5,282","5,282","324","584","696","699","864","846","650","363","230","25","1","6,235","6,235","305","532","715","851","1,101","1,053","749","552","322","53","2"
"서울특별시 종로구 사직동(1111053000)","9,104","9,104","494","665","1,078","1,439","1,410","1,494","1,240","692","502","86","4","4,040","4,040","251","287","461","612","630","683","584","283","215","32","2","5,064","5,064","243","378","617","827","780","811","656","409","287","54","2"
"서울특별시 종로구 삼청동(1111054000)","2,291","2,291","82","169","264","294","320","350","393","241","150","26","2","1,094","1,094","38","100","124","138","150","177","185","113","55","13","1","1,197","1,197","44","69","140","156","170","173","208","128","95","13","1"
"서울특별시 종로구 부암동(1111055000)","9,133","9,133","397","854","1,133","1,150","1,394","1,643","1,332","737","418","71","4","4,319","4,319","185","474","578","564","619","754","614","340","176","15","0","4,814","4,814","212","380","555","586","775","889","718","397","242","56","4"
"서울특별시 종로구 평창동(1111056000)","17,464","17,464","1,028","1,521","2,119","2,073","2,518","3,151","2,736","1,362","811","136","9","8,143","8,143","551","736","1,043","988","1,133","1,404","1,303","613","332","38","2","9,321","9,321","477","785","1,076","1,085","1,385","1,747","1,433","749","479","98","7"
"서울특별시 종로구 무악동(1111057000)","8,000","8,000","555","937","849","845","1,293","1,419","1,093","590","371","45","3","3,681","3,681","246","406","395","399","597","713","509","262","140","14","0","4,319","4,319","309","531","454","446","696","706","584","328","231","31","3"
"서울특별시 종로구 교남동(1111058000)","9,759","9,759","742","815","1,106","1,469","1,691","1,648","1,180","689","376","43","0","4,488","4,488","373","394","503","666","780","799","538","265","158","12","0","5,271","5,271","369","421","603","803","911","849","642","424","218","31","0"
"서울특별시 종로구 가회동(1111060000)","3,926","3,926","161","308","427","518","635","689","568","379","208","33","0","1,824","1,824","92","156","196","244","297","330","265","154","82","8","0","2,102","2,102","69","152","231","274","338","359","303","225","126","25","0"
